#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCA_002122035.1	PRJNA380429	SAMN06698180	NDOK00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA238		latest	Scaffold	Major	Full	2017/05/10	ASM212203v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/035/GCA_002122035.1_ASM212203v1		
GCA_002122055.1	PRJNA380429	SAMN06698179	NDOL00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA237		latest	Scaffold	Major	Full	2017/05/10	ASM212205v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/055/GCA_002122055.1_ASM212205v1		
GCA_002122065.1	PRJNA380429	SAMN06698178	NDOM00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA236		latest	Scaffold	Major	Full	2017/05/10	ASM212206v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/065/GCA_002122065.1_ASM212206v1		
GCA_002122075.1	PRJNA380429	SAMN06698175	NDOP00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA233		latest	Scaffold	Major	Full	2017/05/10	ASM212207v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122075.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/075/GCA_002122075.1_ASM212207v1		
GCA_002122115.1	PRJNA380429	SAMN06698174	NDOQ00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA232		latest	Scaffold	Major	Full	2017/05/10	ASM212211v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/115/GCA_002122115.1_ASM212211v1		
GCA_002122135.1	PRJNA380429	SAMN06698171	NDOT00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA229		latest	Scaffold	Major	Full	2017/05/10	ASM212213v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/135/GCA_002122135.1_ASM212213v1		
GCA_002122145.1	PRJNA380429	SAMN06698172	NDOS00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA230		latest	Scaffold	Major	Full	2017/05/10	ASM212214v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/145/GCA_002122145.1_ASM212214v1		
GCA_002122155.1	PRJNA380429	SAMN06698283	NDKL00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA363		latest	Scaffold	Major	Full	2017/05/10	ASM212215v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/155/GCA_002122155.1_ASM212215v1		
GCA_002122195.1	PRJNA380429	SAMN06698280	NDKO00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA360		latest	Scaffold	Major	Full	2017/05/10	ASM212219v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/195/GCA_002122195.1_ASM212219v1		
GCA_002122205.1	PRJNA380429	SAMN06698278	NDKQ00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA358		latest	Scaffold	Major	Full	2017/05/10	ASM212220v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/205/GCA_002122205.1_ASM212220v1		
GCA_002122215.1	PRJNA380429	SAMN06698281	NDKN00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA361		latest	Scaffold	Major	Full	2017/05/10	ASM212221v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/215/GCA_002122215.1_ASM212221v1		
GCA_002122255.1	PRJNA380429	SAMN06698274	NDKU00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA353		latest	Scaffold	Major	Full	2017/05/10	ASM212225v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/255/GCA_002122255.1_ASM212225v1		
GCA_002122275.1	PRJNA380429	SAMN06698273	NDKV00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA352		latest	Scaffold	Major	Full	2017/05/10	ASM212227v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/275/GCA_002122275.1_ASM212227v1		
GCA_002122285.1	PRJNA380429	SAMN06698271	NDKX00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA349		latest	Scaffold	Major	Full	2017/05/10	ASM212228v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/285/GCA_002122285.1_ASM212228v1		
GCA_002122295.1	PRJNA380429	SAMN06698269	NDKZ00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA347		latest	Scaffold	Major	Full	2017/05/10	ASM212229v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/295/GCA_002122295.1_ASM212229v1		
GCA_002122335.1	PRJNA380429	SAMN06698265	NDLD00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA341		latest	Scaffold	Major	Full	2017/05/10	ASM212233v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/335/GCA_002122335.1_ASM212233v1		
GCA_002122355.1	PRJNA380429	SAMN06698258	NDLK00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA334		latest	Scaffold	Major	Full	2017/05/10	ASM212235v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/355/GCA_002122355.1_ASM212235v1		
GCA_002122375.1	PRJNA380429	SAMN06698247	NDLV00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA320		latest	Scaffold	Major	Full	2017/05/10	ASM212237v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/375/GCA_002122375.1_ASM212237v1		
GCA_002122395.1	PRJNA380429	SAMN06698264	NDLE00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA340		latest	Scaffold	Major	Full	2017/05/10	ASM212239v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/395/GCA_002122395.1_ASM212239v1		
GCA_002122405.1	PRJNA380429	SAMN06698252	NDLQ00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA325		latest	Scaffold	Major	Full	2017/05/10	ASM212240v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/405/GCA_002122405.1_ASM212240v1		
GCA_002122415.1	PRJNA380429	SAMN06698248	NDLU00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA321		latest	Scaffold	Major	Full	2017/05/10	ASM212241v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/415/GCA_002122415.1_ASM212241v1		
GCA_002122455.1	PRJNA380429	SAMN06698246	NDLW00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA319		latest	Scaffold	Major	Full	2017/05/10	ASM212245v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/455/GCA_002122455.1_ASM212245v1		
GCA_002122475.1	PRJNA380429	SAMN06698244	NDLY00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA316		latest	Scaffold	Major	Full	2017/05/10	ASM212247v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/475/GCA_002122475.1_ASM212247v1		
GCA_002122485.1	PRJNA380429	SAMN06698243	NDLZ00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA315		latest	Scaffold	Major	Full	2017/05/10	ASM212248v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/485/GCA_002122485.1_ASM212248v1		
GCA_002122495.1	PRJNA380429	SAMN06698238	NDME00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA310		latest	Scaffold	Major	Full	2017/05/10	ASM212249v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/495/GCA_002122495.1_ASM212249v1		
GCA_002122535.1	PRJNA380429	SAMN06698237	NDMF00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA309		latest	Scaffold	Major	Full	2017/05/10	ASM212253v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/535/GCA_002122535.1_ASM212253v1		
GCA_002122545.1	PRJNA380429	SAMN06698229	NDMN00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA300		latest	Scaffold	Major	Full	2017/05/10	ASM212254v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/545/GCA_002122545.1_ASM212254v1		
GCA_002122565.1	PRJNA380429	SAMN06698227	NDMP00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA298		latest	Scaffold	Major	Full	2017/05/10	ASM212256v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/565/GCA_002122565.1_ASM212256v1		
GCA_002122595.1	PRJNA380429	SAMN06698226	NDMQ00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA297		latest	Scaffold	Major	Full	2017/05/10	ASM212259v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/595/GCA_002122595.1_ASM212259v1		
GCA_002122605.1	PRJNA380429	SAMN06698223	NDMT00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA293		latest	Scaffold	Major	Full	2017/05/10	ASM212260v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/605/GCA_002122605.1_ASM212260v1		
GCA_002122635.1	PRJNA380429	SAMN06698221	NDMV00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA291		latest	Scaffold	Major	Full	2017/05/10	ASM212263v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/635/GCA_002122635.1_ASM212263v1		
GCA_002122645.1	PRJNA380429	SAMN06698217	NDMZ00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA287		latest	Scaffold	Major	Full	2017/05/10	ASM212264v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/645/GCA_002122645.1_ASM212264v1		
GCA_002122675.1	PRJNA380429	SAMN06698216	NDNA00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA286		latest	Scaffold	Major	Full	2017/05/10	ASM212267v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/675/GCA_002122675.1_ASM212267v1		
GCA_002122685.1	PRJNA380429	SAMN06698215	NDNB00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA285		latest	Scaffold	Major	Full	2017/05/10	ASM212268v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/685/GCA_002122685.1_ASM212268v1		
GCA_002122715.1	PRJNA380429	SAMN06698214	NDNC00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA284		latest	Scaffold	Major	Full	2017/05/10	ASM212271v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/715/GCA_002122715.1_ASM212271v1		
GCA_002122735.1	PRJNA380429	SAMN06698204	NDNM00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA272		latest	Scaffold	Major	Full	2017/05/10	ASM212273v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/735/GCA_002122735.1_ASM212273v1		
GCA_002122745.1	PRJNA380429	SAMN06698203	NDNN00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA271		latest	Scaffold	Major	Full	2017/05/10	ASM212274v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/745/GCA_002122745.1_ASM212274v1		
GCA_002122765.1	PRJNA380429	SAMN06698198	NDNS00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA256		latest	Scaffold	Major	Full	2017/05/10	ASM212276v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/765/GCA_002122765.1_ASM212276v1		
GCA_002122795.1	PRJNA380429	SAMN06698195	NDNV00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA253		latest	Scaffold	Major	Full	2017/05/10	ASM212279v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/795/GCA_002122795.1_ASM212279v1		
GCA_002122805.1	PRJNA380429	SAMN06698192	NDNY00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA250		latest	Scaffold	Major	Full	2017/05/10	ASM212280v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/805/GCA_002122805.1_ASM212280v1		
GCA_002122825.1	PRJNA380429	SAMN06698190	NDOA00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA248		latest	Scaffold	Major	Full	2017/05/10	ASM212282v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/825/GCA_002122825.1_ASM212282v1		
GCA_002122855.1	PRJNA380429	SAMN06698185	NDOF00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA243		latest	Scaffold	Major	Full	2017/05/10	ASM212285v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/855/GCA_002122855.1_ASM212285v1		
GCA_002122875.1	PRJNA380429	SAMN06698187	NDOD00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA245		latest	Scaffold	Major	Full	2017/05/10	ASM212287v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/875/GCA_002122875.1_ASM212287v1		
GCA_002122885.1	PRJNA380429	SAMN06698189	NDOB00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA247		latest	Scaffold	Major	Full	2017/05/10	ASM212288v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/885/GCA_002122885.1_ASM212288v1		
GCA_002122915.1	PRJNA380429	SAMN06698177	NDON00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA235		latest	Scaffold	Major	Full	2017/05/10	ASM212291v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122915.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/915/GCA_002122915.1_ASM212291v1		
GCA_002122935.1	PRJNA380429	SAMN06698173	NDOR00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA231		latest	Scaffold	Major	Full	2017/05/10	ASM212293v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/935/GCA_002122935.1_ASM212293v1		
GCA_002122955.1	PRJNA380429	SAMN06698176	NDOO00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA234		latest	Scaffold	Major	Full	2017/05/10	ASM212295v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/955/GCA_002122955.1_ASM212295v1		
GCA_002122975.1	PRJNA380429	SAMN06698165	NDOZ00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA223		latest	Scaffold	Major	Full	2017/05/10	ASM212297v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122975.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/975/GCA_002122975.1_ASM212297v1		
GCA_002122995.1	PRJNA380429	SAMN06698162	NDPC00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA220		latest	Scaffold	Major	Full	2017/05/10	ASM212299v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002122995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/122/995/GCA_002122995.1_ASM212299v1		
GCA_002123015.1	PRJNA380429	SAMN06698161	NDPD00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA219		latest	Scaffold	Major	Full	2017/05/10	ASM212301v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002123015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/123/015/GCA_002123015.1_ASM212301v1		
GCA_002123035.1	PRJNA380429	SAMN06698160	NDPE00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA218		latest	Scaffold	Major	Full	2017/05/10	ASM212303v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002123035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/123/035/GCA_002123035.1_ASM212303v1		
GCA_002123055.1	PRJNA380429	SAMN06698158	NDPG00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA216		latest	Scaffold	Major	Full	2017/05/10	ASM212305v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002123055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/123/055/GCA_002123055.1_ASM212305v1		
GCA_002123075.1	PRJNA380429	SAMN06698156	NDPI00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA214		latest	Scaffold	Major	Full	2017/05/10	ASM212307v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002123075.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/123/075/GCA_002123075.1_ASM212307v1		
GCA_002123095.1	PRJNA380429	SAMN06698207	NDNJ00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA275		latest	Scaffold	Major	Full	2017/05/10	ASM212309v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002123095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/123/095/GCA_002123095.1_ASM212309v1		
GCA_002123105.1	PRJNA380429	SAMN06698155	NDPJ00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA213		latest	Scaffold	Major	Full	2017/05/10	ASM212310v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002123105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/123/105/GCA_002123105.1_ASM212310v1		
GCA_002123135.1	PRJNA380429	SAMN06698154	NDPK00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA212		latest	Scaffold	Major	Full	2017/05/10	ASM212313v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002123135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/123/135/GCA_002123135.1_ASM212313v1		
GCA_002123145.1	PRJNA380429	SAMN06698153	NDPL00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA211		latest	Scaffold	Major	Full	2017/05/10	ASM212314v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002123145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/123/145/GCA_002123145.1_ASM212314v1		
GCA_002123175.1	PRJNA380429	SAMN06698152	NDPM00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA210		latest	Scaffold	Major	Full	2017/05/10	ASM212317v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002123175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/123/175/GCA_002123175.1_ASM212317v1		
GCA_002123195.1	PRJNA380429	SAMN06698150	NDPO00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA208		latest	Scaffold	Major	Full	2017/05/10	ASM212319v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002123195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/123/195/GCA_002123195.1_ASM212319v1		
GCA_002123215.1	PRJNA380429	SAMN06698149	NDPP00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA207		latest	Scaffold	Major	Full	2017/05/10	ASM212321v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002123215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/123/215/GCA_002123215.1_ASM212321v1		
GCA_002123235.1	PRJNA380429	SAMN06698148	NDPQ00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA206		latest	Scaffold	Major	Full	2017/05/10	ASM212323v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002123235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/123/235/GCA_002123235.1_ASM212323v1		
GCA_002123255.1	PRJNA380429	SAMN06698144	NDPU00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA202		latest	Scaffold	Major	Full	2017/05/10	ASM212325v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002123255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/123/255/GCA_002123255.1_ASM212325v1		
GCA_002123275.1	PRJNA380429	SAMN06698142	NDPW00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA200		latest	Scaffold	Major	Full	2017/05/10	ASM212327v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002123275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/123/275/GCA_002123275.1_ASM212327v1		
GCA_002123295.1	PRJNA380429	SAMN06698169	NDOV00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA227		latest	Scaffold	Major	Full	2017/05/10	ASM212329v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002123295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/123/295/GCA_002123295.1_ASM212329v1		
GCA_002123305.1	PRJNA380429	SAMN06698166	NDOY00000000.1	na	1280	1280	Staphylococcus aureus	strain=CFSA224		latest	Scaffold	Major	Full	2017/05/10	ASM212330v1	Department of Infection Prevention and Control, Infectious Diseases Division, Cincinnati Children's Hospital Medical Center,	GCF_002123305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/123/305/GCA_002123305.1_ASM212330v1		
